4219|2999,925|299,9925|2699,9325
4238|276,805|27,6805|249,1245
4247|112,5|11,25|101,25
4249|165|16,5|148,5
4250|112,5|11,25|101,25
4251|165|16,5|148,5
4254|112,5|11,25|101,25
4255|165|16,5|148,5
4256|165|16,5|148,5
4259|165|16,5|148,5
4267|9861,75|986,175|8875,575
4268|6498|649,8|5848,2
4298|51,75|5,175|46,575
4302|103,5|10,35|93,15
4303|103,5|10,35|93,15
4307|155,25|15,525|139,725
4313|160|16|144
4330|2387,97|238,797|2149,173
4331|2387,97|238,797|2149,173
4334|1745,7375|174,57375|1571,16375
4336|90|9|81
4337|114,9975|11,49975|103,49775
4341|76,665|7,6665|68,9985
4344|114,9975|11,49975|103,49775
4356|20192,5|2019,25|18173,25
4358|270|27|243
4359|405|40,5|364,5
4360|405|40,5|364,5
4361|405|40,5|364,5
4371|322,4925|32,24925|290,24325
4376|379,425|37,9425|341,4825
4384|14250|1425|12825
4388|6481,8825|648,18825|5833,69425
4396|213,75|21,375|192,375
4398|251,58|25,158|226,422
4402|224,25|22,425|201,825
4404|224,25|22,425|201,825
4406|337,5|33,75|303,75
4412|17250|1725|15525
4414|2999,925|299,9925|2699,9325
4425|89,25|8,925|80,325
4438|2499,9975|249,99975|2249,99775
4454|660|66|594
4462|2506,5975|250,65975|2255,93775
4466|24999,9975|2499,99975|22499,99775
4468|775,335|77,5335|697,8015
4469|33,5|3,35|30,15
4470|100,5|10,05|90,45
4471|112,5|11,25|101,25
4472|165|16,5|148,5
4473|165|16,5|148,5
4474|165|16,5|148,5
4512|38172|3817,2|34354,8
4538|117|11,7|105,3
4546|1755,75|175,575|1580,175
4547|560|56|504
4553|129,975|12,9975|116,9775
4554|194,9625|19,49625|175,46625
4555|194,9625|19,49625|175,46625
4556|194,9625|19,49625|175,46625
4557|194,9625|19,49625|175,46625
4558|194,9625|19,49625|175,46625
4559|194,9625|19,49625|175,46625
4560|194,9625|19,49625|175,46625
4561|194,9625|19,49625|175,46625
4562|194,9625|19,49625|175,46625
4564|223,5|22,35|201,15
4565|223,5|22,35|201,15
4566|7034,295|703,4295|6330,8655
4567|3446,25|344,625|3101,625
4581|2765,8125|276,58125|2489,23125
4584|166,9275|16,69275|150,23475
4585|313,045|31,3045|281,7405
4586|469,5675|46,95675|422,61075
4587|389,94|38,994|350,946
4588|513,5|51,35|462,15
4589|373,5|37,35|336,15
4598|206,55|20,655|185,895
4600|128,235|12,8235|115,4115
4601|5910|591|5319
4605|12603,375|1260,3375|11343,0375
4617|3938,4|393,84|3544,56
4629|862,5|86,25|776,25
4630|434,25|43,425|390,825
4631|330|33|297
4632|434,25|43,425|390,825
4633|434,25|43,425|390,825
4636|112,5|11,25|101,25
4637|112,5|11,25|101,25
4650|335|33,5|301,5
4652|97,135|9,7135|87,4215
4653|194,27|19,427|174,843
4654|97,135|9,7135|87,4215
4656|5200,9725|520,09725|4680,87525
4657|10124,25|1012,425|9111,825
4658|10124,25|1012,425|9111,825
4659|12701,25|1270,125|11431,125
4660|217,88|21,788|196,092
4661|742,5|74,25|668,25
4672|12701,25|1270,125|11431,125
4673|12701,25|1270,125|11431,125
4681|800|80|720
4688|24999,9975|2499,99975|22499,99775
4715|55,6425|5,56425|50,07825
4716|171,75|17,175|154,575
4717|194,25|19,425|174,825
4731|704,925|70,4925|634,4325
4743|270|27|243
4744|405|40,5|364,5
4745|284|28,4|255,6
4746|284|28,4|255,6
4748|405|40,5|364,5
4751|1087,875|108,7875|979,0875
4752|262,5|26,25|236,25
4764|149,5|14,95|134,55
4768|286,5|28,65|257,85
4769|1275,375|127,5375|1147,8375
4771|166,9275|16,69275|150,23475
4772|166,9275|16,69275|150,23475
4773|166,9275|16,69275|150,23475
4774|6993,69|699,369|6294,321
4786|92|9,2|82,8
4789|28,4475|2,84475|25,60275
4790|18,965|1,8965|17,0685
4802|149,5|14,95|134,55
4807|2387,97|238,797|2149,173
4808|464,25|46,425|417,825
4814|872,5|87,25|785,25
4816|39,9|3,99|35,91
4825|2118,93|211,893|1907,037
4826|10378,5|1037,85|9340,65
4834|6498|649,8|5848,2
4835|10378,5|1037,85|9340,65
4836|675|67,5|607,5
4837|4586,25|458,625|4127,625
4838|4586,25|458,625|4127,625
4842|2387,97|238,797|2149,173
4848|389,28|38,928|350,352
4849|2565|256,5|2308,5
4850|1280,0025|128,00025|1152,00225
4851|4380,75|438,075|3942,675
4856|434,25|43,425|390,825
4857|434,25|43,425|390,825
4859|289,5|28,95|260,55
4861|5136,2475|513,62475|4622,62275
4862|3399,9975|339,99975|3059,99775
4864|2499,9975|249,99975|2249,99775
4866|1350|135|1215
4867|1748,25|174,825|1573,425
4868|1200|120|1080
4870|525|52,5|472,5
4881|6500,25|650,025|5850,225
4886|59,85|5,985|53,865
4888|59,85|5,985|53,865
4889|2109|210,9|1898,1
4892|427,425|42,7425|384,6825
4904|779,8425|77,98425|701,85825
4911|420,3|42,03|378,27
4934|115,5|11,55|103,95
4953|75|7,5|67,5
4957|2912,055|291,2055|2620,8495
4958|405|40,5|364,5
4962|2547,255|254,7255|2292,5295
4963|10490,535|1049,0535|9441,4815
4964|202,425|20,2425|182,1825
4965|202,425|20,2425|182,1825
4970|284,95|28,495|256,455
4971|1484,925|148,4925|1336,4325
4980|10490,535|1049,0535|9441,4815
4992|135|13,5|121,5
5016|39,9975|3,99975|35,99775
5036|166,455|16,6455|149,8095
5039|500,25|50,025|450,225
5040|329,85|32,985|296,865
5073|2969,25|296,925|2672,325
5074|2969,25|296,925|2672,325
5077|405|40,5|364,5
5079|270|27|243
5087|13048,4625|1304,84625|11743,61625
5097|1457,355|145,7355|1311,6195
5098|1243,5825|124,35825|1119,22425
5099|1243,5825|124,35825|1119,22425
5105|6699,2625|669,92625|6029,33625
5106|6699,2625|669,92625|6029,33625
5108|2138,58|213,858|1924,722
5109|329,25|32,925|296,325
5110|7034,295|703,4295|6330,8655
5111|2895,675|289,5675|2606,1075
5118|2969,25|296,925|2672,325
5119|2969,25|296,925|2672,325
5121|876,78|87,678|789,102
5134|75|7,5|67,5
5137|75|7,5|67,5
5139|4500|450|4050
5209|2226,75|222,675|2004,075
5248|35349|3534,9|31814,1
5249|36038,25|3603,825|32434,425
5253|2696,77|269,677|2427,093
5256|514,875|51,4875|463,3875
5257|97,135|9,7135|87,4215
5258|194,27|19,427|174,843
5259|97,135|9,7135|87,4215
5263|2250|225|2025
5264|1500|150|1350
5268|5940|594|5346
5277|7398|739,8|6658,2
5294|1620|162|1458
5296|2025|202,5|1822,5
5303|1005|100,5|904,5
5310|66,75|6,675|60,075
5311|22,25|2,225|20,025
5322|110,97|11,097|99,873
5326|166,455|16,6455|149,8095
5327|166,455|16,6455|149,8095
5328|166,455|16,6455|149,8095
5329|166,455|16,6455|149,8095
5330|2373,3325|237,33325|2135,99925
5331|293,7675|29,37675|264,39075
5340|96862,5|9686,25|87176,25
5371|23375|2337,5|21037,5
5372|23375|2337,5|21037,5
5387|22,25|2,225|20,025
5390|50,3925|5,03925|45,35325
5391|50,3925|5,03925|45,35325
5392|50,3925|5,03925|45,35325
5393|33,595|3,3595|30,2355
5397|2025|202,5|1822,5
5399|2499,9975|249,99975|2249,99775
5404|2547,255|254,7255|2292,5295
5413|1215|121,5|1093,5
5417|142,425|14,2425|128,1825
5443|80,0025|8,00025|72,00225
5448|262,5|26,25|236,25
5449|6881,8575|688,18575|6193,67175
5450|166,455|16,6455|149,8095
5451|166,455|16,6455|149,8095
5454|5136,2475|513,62475|4622,62275
5455|5136,2475|513,62475|4622,62275
5456|427,425|42,7425|384,6825
5458|75|7,5|67,5
5459|84,4875|8,44875|76,03875
5477|66,75|6,675|60,075
5478|66,75|6,675|60,075
5490|567|56,7|510,3
5491|261,75|26,175|235,575
5493|702,75|70,275|632,475
5494|702,75|70,275|632,475
5495|725,25|72,525|652,725
5496|702,75|70,275|632,475
5510|5850|585|5265
5511|4500|450|4050
5521|427,425|42,7425|384,6825
5524|648,75|64,875|583,875
5528|1727,2475|172,72475|1554,52275
5530|159,9975|15,99975|143,99775
5531|106,665|10,6665|95,9985
5535|391,395|39,1395|352,2555
5536|254,25|25,425|228,825
5538|391,395|39,1395|352,2555
5539|130,465|13,0465|117,4185
5540|391,395|39,1395|352,2555
5548|50,3925|5,03925|45,35325
5551|33,595|3,3595|30,2355
5552|117|11,7|105,3
5559|22,25|2,225|20,025
5573|367|36,7|330,3
5586|968,625|96,8625|871,7625
5589|55|5,5|49,5
5591|70,4775|7,04775|63,42975
5593|55|5,5|49,5
5610|389,28|38,928|350,352
5611|389,28|38,928|350,352
5612|482,25|48,225|434,025
5615|133,3325|13,33325|119,99925
5620|142,5|14,25|128,25
5625|224,25|22,425|201,825
5626|16285,23|1628,523|14656,707
5632|75000|7500|67500
5633|11000,0025|1100,00025|9900,00225
5635|1860|186|1674
5638|926,25|92,625|833,625
5640|6000|600|5400
5642|7310,625|731,0625|6579,5625
5643|5691|569,1|5121,9
5644|5691|569,1|5121,9
5645|13972,5|1397,25|12575,25
5646|17250|1725|15525
5648|15036,25|1503,625|13532,625
5649|22554,375|2255,4375|20298,9375
5650|16285,23|1628,523|14656,707
5651|16285,23|1628,523|14656,707
5652|16285,23|1628,523|14656,707
5655|16285,23|1628,523|14656,707
5656|16285,23|1628,523|14656,707
5658|97,135|9,7135|87,4215
5659|16285,23|1628,523|14656,707
5661|16285,23|1628,523|14656,707
5663|16285,23|1628,523|14656,707
5664|16285,23|1628,523|14656,707
5666|146,16|14,616|131,544
5671|2547,255|254,7255|2292,5295
5672|6563,49|656,349|5907,141
5675|2565|256,5|2308,5
5685|550,5|55,05|495,45
5686|750|75|675
5687|398,3025|39,83025|358,47225
5692|319,0125|31,90125|287,11125
5693|114,75|11,475|103,275
5694|114,75|11,475|103,275
5695|114,75|11,475|103,275
5700|99,75|9,975|89,775
5701|99,75|9,975|89,775
5705|200|20|180
5706|275|27,5|247,5
5708|2528,9025|252,89025|2276,01225
5724|830,25|83,025|747,225
5728|18765,1575|1876,51575|16888,64175
5729|16378,5|1637,85|14740,65
5732|224,0625|22,40625|201,65625
5733|224,0625|22,40625|201,65625
5737|35,175|3,5175|31,6575
5738|176,13|17,613|158,517
5739|96,75|9,675|87,075
5744|74,75|7,475|67,275
5750|224,25|22,425|201,825
5751|100,5|10,05|90,45
5753|100,5|10,05|90,45
5756|13,7475|1,37475|12,37275
5757|41,2425|4,12425|37,11825
5758|13,7475|1,37475|12,37275
5760|800,0025|80,00025|720,00225
5761|800,0025|80,00025|720,00225
5772|800,0025|80,00025|720,00225
5776|1243,5825|124,35825|1119,22425
5777|145|14,5|130,5
5778|1243,5825|124,35825|1119,22425
5781|800,0025|80,00025|720,00225
5783|143,97|14,397|129,573
5784|199,5|19,95|179,55
5786|830,25|83,025|747,225
5798|166,665|16,6665|149,9985
5802|147,5|14,75|132,75
5804|500,0025|50,00025|450,00225
5805|159|15,9|143,1
5806|159|15,9|143,1
5812|402|40,2|361,8
5813|166,455|16,6455|149,8095
5844|165|16,5|148,5
5845|46,985|4,6985|42,2865
5846|165|16,5|148,5
5847|84,5|8,45|76,05
5848|165|16,5|148,5
5849|74,75|7,475|67,275
5850|149,5|14,95|134,55
5851|149,5|14,95|134,55
5852|87,2775|8,72775|78,54975
5853|87,2775|8,72775|78,54975
5854|224,25|22,425|201,825
5855|225|22,5|202,5
5856|427,425|42,7425|384,6825
5865|159|15,9|143,1
5867|159|15,9|143,1
5868|159|15,9|143,1
5869|159|15,9|143,1
5870|159|15,9|143,1
5872|107,1675|10,71675|96,45075
5875|449,25|44,925|404,325
5894|178,5|17,85|160,65
5895|159|15,9|143,1
5901|126,75|12,675|114,075
5903|50,0025|5,00025|45,00225
5904|50,0025|5,00025|45,00225
5905|50,0025|5,00025|45,00225
5906|50,0025|5,00025|45,00225
5907|50,0025|5,00025|45,00225
5908|50,0025|5,00025|45,00225
5911|50,0025|5,00025|45,00225
5912|50,0025|5,00025|45,00225
5913|50,0025|5,00025|45,00225
5914|72,99|7,299|65,691
5915|50,0025|5,00025|45,00225
5916|50,0025|5,00025|45,00225
5917|50,0025|5,00025|45,00225
5921|50,0025|5,00025|45,00225
5922|50,0025|5,00025|45,00225
5925|249,9975|24,99975|224,99775
5926|249,9975|24,99975|224,99775
5927|50,0025|5,00025|45,00225
5928|50,0025|5,00025|45,00225
5929|50,0025|5,00025|45,00225
5930|50,0025|5,00025|45,00225
5935|71,445|7,1445|64,3005
5936|107,1675|10,71675|96,45075
5938|107,1675|10,71675|96,45075
5940|107,1675|10,71675|96,45075
5942|107,1675|10,71675|96,45075
5947|4418,475|441,8475|3976,6275
5948|2526,6|252,66|2273,94
5949|434,25|43,425|390,825
5951|262,5|26,25|236,25
5952|253,5725|25,35725|228,21525
