OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
561543;;;;;;;;
561544;;;;;;;;
561546;;;;;34.42;34.42;HSJB - IRRF RETIDO EM N.F;
561547;;;;;;;;
561549;;;;;;;;
561550;;;;;;;;
561551;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561553;;;;;295650;4930.26;IRRF - GESTAO PLENA - SUS;
561553;;;;;295650;20542.78;ISS - GESTAO PLENA;
561554;;;;;17084.85;205.02;IRRF - GESTAO PLENA - SUS;
561554;;;;;17084.85;854.24;ISS - GESTAO PLENA;
561555;;;;;;;;
561556;;;;;;;;
561557;;;;;;;;
561558;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561559;;;;;;;;
561560;;;;;193.39;193.39;HSJB - IRRF RETIDO EM N.F;
561561;;;;;;;;
561562;;;;;34.42;34.42;HSJB - IRRF RETIDO EM N.F;
561563;;;;;;;;
561564;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561565;;;;;;;;
561567;;;;;;;;
561569;;;;;2430;210.6;IRRF - GESTAO PLENA - SUS;
561569;;;;;2430;280.8;ISS - GESTAO PLENA;
561570;;;;;1369.71;1369.71;RESTITUICOES ANTECIPACAO DE PAGAMENTO -;
561573;;;;;7744.09;7744.09;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561574;;;;;;;;
561575;;;;;290418.92;6087.76;ISS - GOV ESTADO  F 193;
561576;;;;;34.42;34.42;HSJB - IRRF RETIDO EM N.F;
561577;;;;;;;;
561578;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561580;;;;;;;;
561581;;;;;;;;
561582;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561583;;;;;372.6;372.6;HSJB - IRRF RETIDO EM N.F;
561584;;;;;350700;5260.5;IRRF - GESTAO PLENA - SUS;
561584;;;;;350700;17535;ISS - GESTAO PLENA;
561585;;;;;32.42;32.42;HSJB - IRRF RETIDO EM N.F;
561594;;;;;;;;
561595;;;;;;;;
561596;;;;;;;;
561597;;;;;2778;41.67;IRRF - GESTAO PLENA - SUS;
561597;;;;;2778;138.9;ISS - GESTAO PLENA;
561598;;;;;;;;
561599;;;;;85226.46;1022.71;IRRF - FORNECIMENTO DE BENS;
561600;;;;;22549.44;22549.44;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561601;;;;;1638.24;1638.24;OUTRAS RESTITUICOES - F 200 - FMS;
561602;;;;;206685.92;12299.69;ISS - PMVR;
561603;;;;;;;;
561604;;;;;44.81;44.81;HSJB - IRRF RETIDO EM N.F;
561605;;;;;;;;
561606;;;;;1983.6;23.8;IRRF - GESTAO PLENA - SUS;
561606;;;;;1983.6;99.18;ISS - GESTAO PLENA;
561607;;;;;4160;49.92;IRRF - GESTAO PLENA - SUS;
561607;;;;;4160;208;ISS - GESTAO PLENA;
561609;;;;;;;;
561610;;;;;;;;
561611;;;;;35868;778.33;ISS - GESTAO PLENA;
561613;;;;;434.72;20.87;IRRF - PRESTADOR DE SERVIÇOS;
561616;;;;;;;;
561617;;;;;;;;
561618;;;;;59.94;59.94;HSJB - IRRF RETIDO EM N.F;
561619;;;;;280456.4;12592.49;RETENC. ISS EM LIQUIDAÇÃO;
561623;;;;;;;;
561625;;;;;475.2;475.2;HSJB - IRRF RETIDO EM N.F;
561626;;;;;15751.16;189.01;IRRF - GESTAO PLENA - SUS;
561626;;;;;15751.16;472.53;ISS - GESTAO PLENA;
561627;;;;;91686;4584.3;RETENC. ISS EM LIQUIDAÇÃO;
561627;;;;;91686;4400.93;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561628;;;;;27826.65;333.92;IRRF - GESTAO PLENA - SUS;
561628;;;;;27826.65;1391.33;ISS - GESTAO PLENA;
561630;;;;;;;;
561631;;;;;;;;
561632;;;;;5760;86.4;IRRF - GESTAO PLENA - SUS;
561632;;;;;5760;288;ISS - GESTAO PLENA;
561633;;;;;169536.63;406.89;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561634;;;;;390322.19;10352.14;ISS - PMVR;
561634;;;;;390322.19;24845.13;IRRF - PRESTADOR DE SERVIÇOS;
561637;;;;;;;;
561638;;;;;;;;
561639;;;;;97408.34;413.09;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561640;;;;;155.22;155.22;HSJB - IRRF RETIDO EM N.F;
561643;;;;;29340;1196.67;ISS - GESTAO PLENA;
561644;;;;;;;;
561646;;;;;;;;
561647;;;;;;;;
561648;;;;;18722.05;4132.15;IRRF - TRABALHO PRINCIPAL PF PMVR;
561649;;;;;;;;
561650;;;;;520;26;RETENC. ISS EM LIQUIDAÇÃO;
561650;;;;;520;57.2;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561651;;;;;6363.1;305.42;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561652;;;;;455;22.75;RETENC. ISS EM LIQUIDAÇÃO;
561652;;;;;455;50.05;INSTITUTO NACIONAL DO SEGURO SOCIAL;
561653;;;;;;;;
561654;;;;;6363.1;305.42;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561655;;;;;;;;
561656;;;;;6363.1;305.42;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561657;;;;;;;;
561658;;;;;2937.85;35.25;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561659;;;;;17.86;17.86;HSJB - IRRF RETIDO EM N.F;
561660;;;;;14802;361.66;ISS - GESTAO PLENA;
561661;;;;;2400;120;RETENC. ISS EM LIQUIDAÇÃO;
561661;;;;;2400;115.2;IRRF SOBRE O TRABALHO PRINCIPAL - PJ;
561662;;;;;;;;
561663;;;;;;;;
561664;;;;;;;;
561665;;;;;;;;
561666;;;;;;;;
561667;;;;;;;;
